,County,Deaths,OB/GYNS
0,Adams,4.0,
1,Allen,16.0,
2,Bartholomew,1.0,
3,Blackford,1.0,
4,Boone,4.0,
5,Brown,1.0,
6,Caroll,1.0,
7,Cass,3.0,
8,Clay,3.0,
9,Clinton,3.0,
10,Daviess,3.0,
11,Dekalb,2.0,
12,Delaware,5.0,
13,Elkhart,15.0,
14,Fayette,3.0,
15,Floyd,1.0,
16,Fountain,1.0,
17,Fulton,3.0,
18,Gibson,1.0,
19,Grant,3.0,
20,Greene,1.0,
21,Hamilton,5.0,
22,Hancock,5.0,
23,Harrison,1.0,
24,Hendricks,6.0,
25,Henry,3.0,
26,HOWARD,4.0,
27,Huntington,3.0,
28,Jackson,4.0,
29,Jasper,1.0,
30,Jay,2.0,
31,Jefferson,1.0,
32,Jennings,3.0,
33,Johnson,4.0,
34,Knox,1.0,
35,Kosciusko,4.0,
36,Lagrange,3.0,
37,Lake,12.0,
38,Laporte,7.0,
39,Lawrence,4.0,
40,Madison,7.0,
41,Marion,61.0,
42,Marshall,2.0,
43,Miami,1.0,
44,Monroe,6.0,
45,Montgomery,1.0,
46,Morgan,5.0,
47,Newton,1.0,
48,Noble,3.0,
49,Orange,2.0,
50,Owen,1.0,
51,Pike,1.0,
52,Porter,4.0,
53,Putnam,1.0,
54,Randolph,2.0,
55,Shelby,5.0,
56,St. Joseph,10.0,
57,Steuben,1.0,
58,Tippecanoe,9.0,
59,Vanderburgh,13.0,
60,Vigo,4.0,
61,Warren,2.0,
62,Washington,1.0,
63,Wayne,3.0,
64,Wells,1.0,
65,White,3.0,
66,Whitley,1.0,
67,Marion ,,188.0
68,Lake ,,61.0
69,Allen ,,60.0
70,St. Joseph ,,44.0
71,Warrick ,,30.0
72,Hamilton ,,26.0
73,Elkhart ,,24.0
74,Hendricks ,,22.0
75,Vigo ,,19.0
76,Vanderburgh ,,19.0
77,Tippecanoe ,,18.0
78,Monroe ,,15.0
79,Montgomery ,,14.0
80,Delaware ,,14.0
81,Johnson ,,13.0
82,Clark ,,11.0
83,Floyd ,,10.0
84,Porter ,,10.0
85,Madison ,,10.0
86,Jackson ,,8.0
87,Bartholomew ,,8.0
88,Howard ,,8.0
89,Wayne ,,7.0
90,Hancock ,,7.0
91,Dubois ,,6.0
92,Morgan ,,6.0
93,Lawrence ,,6.0
94,LaPorte ,,6.0
95,Marshall ,,5.0
96,Knox ,,5.0
97,Grant ,,5.0
98,Dearborn ,,4.0
99,Randolph ,,4.0
100,Kosciusko ,,4.0
101,Cass ,,4.0
102,Jefferson ,,4.0
103,Daviess ,,3.0
104,Sullivan ,,3.0
105,Ripley ,,3.0
106,Greene ,,3.0
107,Henry ,,3.0
108,Wabash ,,3.0
109,Gibson ,,2.0
110,Scott ,,2.0
111,Noble ,,2.0
112,Decatur ,,2.0
113,Boone ,,2.0
114,Wells ,,2.0
115,White ,,2.0
116,Franklin ,,2.0
117,Steuben ,,1.0
118,LaGrange ,,1.0
119,Miami ,,1.0
120,Warren ,,1.0
121,Rush ,,1.0
122,DeKalb ,,1.0
123,Starke ,,1.0
124,Washington ,,1.0
125,Harrison ,,1.0
126,Huntington ,,1.0
127,Fulton ,,1.0
128,Pulaski ,,1.0
129,Shelby ,,1.0
130,Perry ,,1.0
