"S. No.","State/UT","[R] Required1","[S] Sanctioned","[P] In Position","[S-P] Vacant","[R-P] Shortfall"
"1","Andhra Pradesh","1124","578","408","170","716"
"2","Arunachal Pradesh","192","NA","1","NA","191"
"3","Assam","432","NA","216","NA","216"
"4","Bihar##","280","280","151","129","129"
"5","Chhattisgarh","592","592","82","510","510"
"6","Goa","20","16","10","6","10"
"7","Gujarat","1220","346","76","270","1144"
"8","Haryana","428","257","45","212","383"
"9","Himachal Pradesh","304","NA","9","NA","295"
"10","Jammu & Kashmir","332","315","170","145","162"
"11","Jharkhand","752","124","66","58","686"
"12","Karnataka","720","NA","584","NA","136"
"13","Kerala#","896","640","774","NULL","122"
"14","Madhya Pradesh ","1332","778","227","551","1105"
"15","Maharashtra","1460","649","600","49","860"
"16","Manipur","64","64","4","60","60"
"17","Meghalaya","116","8","9","NULL","107"
"18","Mizoram","36","NA","2","NA","34"
"19","Nagaland","84","NA","34","NA","50"
"20","Odisha","1508","812","438","374","1070"
"21","Punjab","516","460","300","160","216"
"22","Rajasthan","1504","1068","569","499","935"
"23","Sikkim","8","NA","0","NA","8"
"24","Tamil Nadu3","1540","0","0","0","1540"
"25","Tripura#","44","NA","0","NA","44"
"26","Uttarakhand","220","210","78","132","142"
"27","Uttar Pradesh","2060","2060","1894","166","166"
"28","West Bengal","1392","542","175","367","1217"
"29","A& N Islands","16","16","0","16","16"
"30","Chandigarh","8","11","7","4","1"
"31","D & N Haveli","4","0","0","0","4"
"32","Daman & Diu","8","2","0","2","8"
"33","Delhi","0","0","0","0","0"
"34","Lakshadweep##","12","0","1","NULL","11"
"35","Puducherry","12","3","5","NULL","7"
