Row Labels,Average of CHILD_DEATH_CNTY_POP
ADAMS,34880
ALLEN,365178
BARTHOLOMEW,79711
BENTON,8731
BLACKFORD,12498
BOONE,62304
BROWN,14966
CARROLL,19985
CASS,38266
CLARK,113659
CLAY,26580
CLINTON,32781
CRAWFORD,10660
DAVIESS,32491
DEARBORN,49888
DECATUR,26284
DEKALB,42502
DELAWARE,116472
DUBOIS,42288
ELKHART,201337
FAYETTE,23600
FLOYD,75705
FOUNTAIN,16704
FULTON,20397
GIBSON,33666
GRANT,68407
GREENE,32716
HAMILTON,299627
HANCOCK,72239
HARRISON,39467
HENDRICKS,156097
HENRY,49003
HOWARD,82680
HUNTINGTON,36777
JACKSON,43768
JASPER,33447
JAY,21201
JEFFERSON,32406
JENNINGS,28007
JOHNSON,146418
KNOX,37965
KOSCIUSKO,78306
LAGRANGE,38091
LAKE,490404
LAPORTE,110937
LAWRENCE,45770
MADISON,130113
MARION,927955
MARSHALL,46702
MARTIN,10255
MIAMI,36207
MONROE,143211
MONTGOMERY,38143
MORGAN,69469
NEWTON,14038
NOBLE,47581
ORANGE,19487
OWEN,21010
PARKE,17105
PERRY,19377
PIKE,12631
PORTER,166778
POSEY,25585
PULASKI,12850
PUTNAM,37567
RANDOLPH,25308
RIPLEY,28677
RUSH,17077
SCOTT,23837
SHELBY,44370
SPENCER,20823
ST JOSEPH,267836
STARKE,23125
STEUBEN,34290
SULLIVAN,20960
SWITZERLAND,10504
TIPPECANOE,183084
TIPTON,15644
VANDERBURGH,181437
VERMILLION,15640
VIGO,108047
WABASH,32302
WARREN,8222
WARRICK,61767
WASHINGTON,27909
WAYNE,67437
WELLS,27789
WHITE,24246
WHITLEY,33390
Grand Total,272710
